estado_importacao,chave_importacao,duplicado_provavel,ordem_cronologica,matricula,vin_chassi,processo_oficina,folha_obra,data_documento,hora_documento,data_hora_documento,origem_maquina,tipo_registo,resumo,link_documento_original,origem_ficheiro,lote_importacao,observacoes_importacao,criado_por,criado_em,km_leitura,modulo_calculador,referencia_software,edicao_calibracao,edicao_software,data_telecarregamento,numero_telecarregamentos,fornecedor_ecu,referencia_material,km_ultima_reposicao_manutencao,km_ate_proxima_manutencao,dias_ate_proxima_manutencao,dias_desde_ultima_reposicao_manutencao,numero_manutencoes_efetuadas,limite_temporal_ultrapassado,limite_quilometrico_ultrapassado,limiar_manutencao_km,duracao_manutencao_meses,inicio_primeira_manutencao_km,duracao_antes_primeira_manutencao_meses,gestao_manutencao,taxa_diluicao_oleo_pct,taxa_carbono_oleo_pct,protecao_anti_diluicao,intervalo_calculado_calculador_km,existem_defeitos,numero_total_codigos_eventos,codigos_principais,defeito_critico,estado_principal,caracterizacao_resumo_defeito,km_associado_defeito,acao_recomendada
validado,e3c1a6fc2ee3d5e6_2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_3.pdf,sim,77,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-linha-de-escape-1.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_3.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,e3c1a6fc2ee3d5e6_2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_4.pdf,sim,78,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-linha-de-escape-1.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_4.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,e3c1a6fc2ee3d5e6_2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_5.pdf,sim,79,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-linha-de-escape-1.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_5.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,e3c1a6fc2ee3d5e6_2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_6.pdf,sim,80,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-linha-de-escape-1.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_6.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,ff3dfd51abd2f9a3_2026-03-30_VR3EDYHT1RJ643860_informacoes-sensor-angulo-volante_2.pdf,sim,82,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes sensor angulo volante,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-sensor-angulo-volante.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-sensor-angulo-volante_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,5e087c928ac2af2e_2026-03-30_VR3EDYHT1RJ643860_informacoes-veiculo_2.pdf,sim,84,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes veiculo,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-veiculo.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-veiculo_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,c12e2995f6585529_2026-03-30_VR3EDYHT1RJ643860_inicializacoes_2.pdf,sim,86,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,inicializacoes,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_inicializacoes.pdf,2026-03-30_VR3EDYHT1RJ643860_inicializacoes_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,c12e2995f6585529_2026-03-30_VR3EDYHT1RJ643860_inicializacoes_3.pdf,sim,87,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,inicializacoes,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_inicializacoes.pdf,2026-03-30_VR3EDYHT1RJ643860_inicializacoes_3.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,c12e2995f6585529_2026-03-30_VR3EDYHT1RJ643860_inicializacoes_4.pdf,sim,88,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,inicializacoes,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_inicializacoes.pdf,2026-03-30_VR3EDYHT1RJ643860_inicializacoes_4.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,c12e2995f6585529_2026-03-30_VR3EDYHT1RJ643860_inicializacoes_5.pdf,sim,89,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,inicializacoes,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_inicializacoes.pdf,2026-03-30_VR3EDYHT1RJ643860_inicializacoes_5.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
